"Item","ID","Name","Type","SKU","Options","Inventory","Current Stock","Price","Search Keywords","UPC/EAN","Free Shipping","Fixed Shipping Cost","Weight","Width","Height","Depth","Is Visible","Is Featured","Tax Class","Product Condition","Show Product Condition","Sort Order"
"Product","","Earth Rated GrmWipe Unscnt 100ct","physical","30100057","","variant","0","10.49","30100057, Earth, Rated, GrmWipe, Unscnt, 100ct","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19324714","Type=Rectangle|Name=Size|Value=One Size","","","","","870856000574","False","","","","","","","","","","",""
"Product","","Earth Rated Unsctd Bag Dispenser","physical","30100094","","variant","0","5.99","30100094, Earth, Rated, Unsctd, Bag, Dispenser","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19321696","Type=Rectangle|Name=Size|Value=One Size","","","","","870856000949","False","","","","","","","","","","",""
"Product","","Earth Rated Poop Bag Unsctd Single","physical","30100143","","variant","0","1","30100143, Earth, Rated, Poop, Bag, Unsctd, Single","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19321695","Type=Rectangle|Name=Size|Value=One Size","","","","","30870856001435","False","","","","","","","","","","",""
"Variant","","","","19321695","Type=Rectangle|Name=Size|Value=One Size","","","","","870856001434","False","","","","","","","","","","",""
"Product","","Earth Rated Dog Eye Wipes 60ct","physical","30100192","","variant","0","11.99","30100192, Earth, Rated, Dog, Eye, Wipes, 60ct","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19322592","Type=Rectangle|Name=Size|Value=One Size","","","","","870856001922","False","","","","","","","","","","",""
"Product","","Earth Rated Poop Bags 8pk Scnt","physical","708000","","variant","0","9.49","708000, Earth, Rated, Poop, Bags, 8pk, Scnt","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102268600","Type=Rectangle|Name=Size|Value=8PK","","","","","870856000024","False","","","","","","","","","","",""
"Product","","Earth Rated Handle Poop Bags","physical","708002","","variant","0","8.49","708002, Earth, Rated, Handle, Poop, Bags","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102268617","Type=Rectangle|Name=Size|Value=120","","","","","870856000055","False","","","","","","","","","","",""
"Product","","EB Puppy Shampoo","physical","26007","","variant","0","22.99","26007, EB, Puppy, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843142","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644021313","False","","","","","","","","","","",""
"Product","","EB Mediterranean Magic Shampoo","physical","26008","","variant","0","22.99","26008, EB, Mediterranean, Magic, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843104","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644020613","False","","","","","","","","","","",""
"Product","","EB Frangrance Free Shampoo","physical","26015","","variant","0","22.99","26015, EB, Frangrance, Free, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843166","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644021818","False","","","","","","","","","","",""
"Product","","EB Vanilla Almond Spritz","physical","26201","","variant","0","17.99","26201, EB, Vanilla, Almond, Spritz","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843241","Type=Rectangle|Name=Size|Value=8OZ","","","","","602644022037","False","","","","","","","","","","",""
"Product","","Earthborn Sea Catch CT 4lb","physical","40054121","","variant","0","15.99","40054121, Earthborn, Sea, Catch, CT, 4lb","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19318393","Type=Rectangle|Name=Size|Value=One Size","","","","","034846541212","False","","","","","","","","","","",""
"Product","","Esp Lux Remoist Conditioner 1 Gal","physical","ESP1004369","","variant","0","64.99","ESP1004369, Esp, Lux, Remoist, Conditioner, 1, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300815","Type=Rectangle|Name=Size|Value=One Size","","","","","748406001039","False","","","","","","","","","","",""
"Product","","Esp D Bright White ShamCond Gal","physical","ESP1031878","","variant","0","57.99","ESP1031878, Esp, D, Bright, White, ShamCond, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300816","Type=Rectangle|Name=Size|Value=One Size","","","","","748406001046","False","","","","","","","","","","",""
"Variant","","","","19300816","Type=Rectangle|Name=Size|Value=One Size","","","","","748406003286","False","","","","","","","","","","",""
"Product","","Esp D Smpl Shed Sham+Cond Gal","physical","ESP1031886","","variant","0","70.99","ESP1031886, Esp, D, Smpl, Shed, Sham+Cond, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300817","Type=Rectangle|Name=Size|Value=One Size","","","","","748406000605","False","","","","","","","","","","",""
"Variant","","","","19300817","Type=Rectangle|Name=Size|Value=One Size","","","","","748406004139","False","","","","","","","","","","",""
"Product","","Ethical Flppn Fish CT Toy 11.5""","physical","077469","","variant","0","13.99","077469, Ethical, Flppn, Fish, CT, Toy, 11.5""","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19310968","Type=Rectangle|Name=Size|Value=One Size","","","","","077234521380","False","","","","","","","","","","",""
"Product","","Ethical Two Tone Cat Dish 6""","physical","100045","","variant","0","8.99","100045, Ethical, Two, Tone, Cat, Dish, 6""","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19310974","Type=Rectangle|Name=Size|Value=One Size","","","","","077234546994","False","","","","","","","","","","",""
"Product","","Ethical Two Tone Dog Dish 5""","physical","100107","","variant","0","9.99","100107, Ethical, Two, Tone, Dog, Dish, 5""","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19310975","Type=Rectangle|Name=Size|Value=One Size","","","","","077234547007","False","","","","","","","","","","",""
"Product","","Ethical I Love Dogs Dish 7""","physical","100235","","variant","0","12.99","100235, Ethical, I, Love, Dogs, Dish, 7""","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19310973","Type=Rectangle|Name=Size|Value=One Size","","","","","077234546987","False","","","","","","","","","","",""
"Product","","Holiday Llama Plaid Hat","physical","58492","","variant","0","13.99","58492, Holiday, Llama, Plaid, Hat","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19316252","Type=Rectangle|Name=Size|Value=One Size","","","","","077234584927","False","","","","","","","","","","",""
"Product","","Snuggler Bones/Paws Blanket 30x40","physical","691143","","variant","0","9.99","691143, Snuggler, Bones, Paws, Blanket, 30x40","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19311200","Type=Rectangle|Name=Color|Value=TANType=Rectangle|Name=Size|Value=One Size","","","","","077234500613","False","","","","","","","","","","",""
"Product","","Snuggler Bones/Paws Blanket 40x60","physical","691144","","variant","0","14.99","691144, Snuggler, Bones, Paws, Blanket, 40x60","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19311201","Type=Rectangle|Name=Color|Value=TANType=Rectangle|Name=Size|Value=One Size","","","","","077234500620","False","","","","","","","","","","",""
"Product","","Ethical Hi-Rise Sngl Diner 2qt","physical","773630","","variant","0","29.99","773630, Ethical, Hi, Rise, Sngl, Diner, 2qt","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19310970","Type=Rectangle|Name=Size|Value=One Size","","","","","077234058572","False","","","","","","","","","","",""
"Product","","Etta Says Mega Buffalo Chew","physical","41400103","","variant","0","9.49","41400103, Etta, Says, Mega, Buffalo, Chew","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102605702","Type=Rectangle|Name=Size|Value=10IN","","","","","853994001030","False","","","","","","","","","","",""
"Product","","Etta Says Crunchy Chew Duck 7","physical","41400132","","variant","0","2.49","41400132, Etta, Says, Crunchy, Chew, Duck, 7","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711724","Type=Rectangle|Name=Size|Value=7IN","","","","","853994001917","False","","","","","","","","","","",""
"Product","","Etta Says Crunchy Chew Deer 7","physical","41400151","","variant","0","2.49","41400151, Etta, Says, Crunchy, Chew, Deer, 7","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711731","Type=Rectangle|Name=Size|Value=7IN","","","","","853994001337","False","","","","","","","","","","",""
"Product","","Etta Says Crunchy Chew Rabb 7","physical","41400153","","variant","0","2.49","41400153, Etta, Says, Crunchy, Chew, Rabb, 7","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711748","Type=Rectangle|Name=Size|Value=7IN","","","","","853994001344","False","","","","","","","","","","",""
"Product","","Etta Says Bully Lamb Chew 7in","physical","41400630","","variant","0","3.39","41400630, Etta, Says, Bully, Lamb, Chew, 7in","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711663","Type=Rectangle|Name=Size|Value=7IN","","","","","853662006299","False","","","","","","","","","","",""
"Product","","Etta Says Bully Tky Chew 7in","physical","41400636","","variant","0","3.39","41400636, Etta, Says, Bully, Tky, Chew, 7in","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711687","Type=Rectangle|Name=Size|Value=7IN","","","","","853662006350","False","","","","","","","","","","",""
"Product","","Etta Says Select Bacon Chew","physical","41400645","","variant","0","3.39","41400645, Etta, Says, Select, Bacon, Chew","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102711717","Type=Rectangle|Name=Size|Value=7IN","","","","","853662006442","False","","","","","","","","","","",""
"Product","","Etta Says Yum Stick Pork","physical","41400796","","variant","0","2.79","41400796, Etta, Says, Yum, Stick, Pork","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500103106253","Type=Rectangle|Name=Size|Value=One Size","","","","","850089007953","False","","","","","","","","","","",""
"Product","","Etta Says Yum Stick Beef","physical","41400799","","variant","0","2.79","41400799, Etta, Says, Yum, Stick, Beef","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500103106260","Type=Rectangle|Name=Size|Value=One Size","","","","","850089007984","False","","","","","","","","","","",""
"Product","","Evan 100% Buffalo Dog + Cat 6o","physical","777157","","variant","0","2.79","777157, Evan, 100%, Buffalo, Dog, +, Cat, 6o","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102876522","Type=Rectangle|Name=Size|Value=6OZ","","","","","77627311048","False","","","","","","","","","","",""
"Product","","FreshStep OdorShield Scnt Litter 22","physical","114896","","variant","0","18.99","114896, FreshStep, OdorShield, Scnt, Litter, 22","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19325460","Type=Rectangle|Name=Size|Value=One Size","","","","","044600607672","False","","","","","","","","","","",""
"Product","","FS CleanPaw Multi Fbrz 22lb","physical","377635","","variant","0","21.99","377635, FS, CleanPaw, Multi, Fbrz, 22lb","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102943927","Type=Rectangle|Name=Size|Value=22.5LB","","","","","044600607580","False","","","","","","","","","","",""
